technology,group,parameters,technology-entry,description
gas_prod,obsolete (?),"activity, upper",1,links and stabilizes gas production (currently inactive - no positive entry)
gas_scrub_lim,add-on,"activity, upper",1,limit on CO2 scrubber application (CCS add-on) for gas power plants
gas_util,obsolete (?),"activity, lower",1,Links gas infrastructure growth between utilities versus residential and industry (inactive as not negative entry).
global_GCO2,removed,activity,1,R11-GLB only - Total CO2 emissions
global_GSO2,removed,activity,1,R11-GLB only - Total SO2 Emissions
h2_exp_limit,share-constraint formulation,"activity, lower",1,limits hydrogen exports as share of total hydrogen production
h2_scrub_limit,add-on,"activity, lower",1,scrubbing limit of CO2 from natural gas due to hydrogen blending
h2mix_direct,RES,"activity, lower",1,blending of hydrogen into gas grid
hydro_min,hydro resource,"activity, lower",1,Constraint limiting minimum hydro production
hydro_pot,hydro resource,"activity, upper",1,Constraint limiting maximum hydro potential
import_dependence,removed,activity,1,maximum import dependence
lfil_limit,emission_factor,"activity, lower, upper",1,Constraint limiting gr of landfill mitigaiton technology activty (mpa)
lim_exp_afr_LNG,share-constraint formulation,"activity, upper",1,R11_GLB only - limits LNG exports from afr
lim_exp_afr_coal,share-constraint formulation,"activity, upper",1,limit on coal exports
lim_exp_afr_eth,share-constraint formulation,"activity, upper",1,limit on hydrogen exports
lim_exp_afr_meth,share-constraint formulation,"activity, upper",1,limit on methanol (synthetic fossil fuel) exports
lim_exp_cpa_oil,share-constraint formulation,"activity, upper",1,limit on oil exports
lim_exp_eeu_eth,share-constraint formulation,"activity, upper",1,limit on ethanol (biofuel) exports
lim_exp_eeu_meth,share-constraint formulation,"activity, upper",1,limit on methanol (synthetic fossil fuel) exports
lim_exp_fsu_LNG,share-constraint formulation,"activity, upper",1,R11_GLB only - limits LNG exports from fsu
lim_exp_fsu_coal,share-constraint formulation,"activity, upper",1,limit on coal exports
lim_exp_fsu_eth,share-constraint formulation,"activity, upper",1,limit on ethanol (biofuel) exports
lim_exp_fsu_meth,share-constraint formulation,"activity, upper",1,limit on methanol (synthetic fossil fuel) exports
lim_exp_fsu_oil,share-constraint formulation,"activity, upper",1,limit on oil exports
lim_exp_lam_LNG,share-constraint formulation,"activity, upper",1,R11_GLB only - limits LNG exports from lam
lim_exp_lam_oil,share-constraint formulation,"activity, upper",1,limit on oil exports
lim_exp_mea_LNG,share-constraint formulation,"activity, upper",1,R11_GLB only - limits LNG exports from mea
lim_exp_mea_oil,share-constraint formulation,"activity, upper",1,limit on oil exports
lim_exp_nam_LNG,share-constraint formulation,"activity, upper",1,R11_GLB only - limits LNG exports from nam
lim_exp_nam_coal,share-constraint formulation,"activity, upper",1,limit on coal exports
lim_exp_pao_coal,share-constraint formulation,"activity, upper",1,limit on coal exports
lim_exp_pao_eth,share-constraint formulation,"activity, upper",1,limit on ethanol (biofuel) exports
lim_exp_pao_meth,share-constraint formulation,"activity, upper",1,limit on methanol (synthetic fossil fuel) exports
lim_exp_pas_LNG,share-constraint formulation,"activity, upper",1,R11_GLB only - limits LNG exports from pas
lim_exp_weu_eth,share-constraint formulation,"activity, upper",1,limit on ethanol (biofuel) exports
lim_exp_weu_meth,share-constraint formulation,"activity, upper",1,limit on methanol (synthetic fossil fuel) exports
limit_tot_BECCS,share-constraint formulation,"activity, lower",1,limit on BECCS application
max_coal_ind,share-constraint formulation,"activity, lower",1,R11-NAM only - limits coal to max of 50% of gas in industries
meth_exp_limit,share-constraint formulation,"activity, lower",1,limits methanol exports as share of total methanol production
min-liquids_industry,share-constraint formulation,"activity, lower",1,
min-liquids_res-com,,,,
minimum_recycling_aluminum,,,,
minimum_recycling_steel,,,,
nica_limit,emission_factor,"activity, lower, upper",1,Constraint limiting gr of catalytic converter (mitigaiton) technology activty (mpa).
nuc_lc_in_el,removed,activity,1,Constrains nuc_lc contribution to electricity production
oil_based_elec_gen,hisc,"activity, lower",1,Constrains/calibrates historical minimum share of oil for electricity generation.
oil_extr_mpen_c,fossil resources,"activity, lower, upper",1,link equation for joint diffusion constraint of oil extraction technologies
oil_imp_c,share-constraint formulation,"activity, upper",1,R11-NAM only - Limits import dependence of crude oil in relation to oil extraction.
oil_prod,removed,activity,1,R11-NAM only - Limits import dependence of crude oil to max 60% (inactive as there are no negative entries and no limits)
oil_trd,removed,activity,1,In R11 GLB only - penalty for international trade introduced to reflect costs for importing region. In SOME other regions - links/limits net oil product imports to fraction of net crude imports.
pass_out_trb,add-on,"activity, upper",1,link to use of passout turbine from thermal generators
prod_low_lim_BIEL,removed,,0,INDC Policy constraint
prod_low_lim_BIFU,removed,,0,INDC Policy constraint
prod_low_lim_BIHE,removed,,0,INDC Policy constraint
